blockNumber,timestamp,transactionHash,from,to,value,gas,gasPrice,nonce,status,contractAddress,contractName,functionName
60,1731681398,0x4a789937e50b944212d11a5b59017f13582df25141659344ea2003658cfb968d,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000409447,9,1,None,Federation,ChooseProvider
61,1731681403,0xcd965a1d565742c9917b30c6f31274fbdd89b868930f0931eb3d111c94cc39a8,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000359525,8,1,None,Federation,ServiceDeployed
66,1731681428,0x0d9efd93a393a0dc06ccc2c0e2fef820de469695e3473657df4617c117dffc5f,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000184712,10,1,None,Federation,AnnounceService
67,1731681433,0x7d43932e28301ec90bc9e8c5e1f3ae8d014c12e4aa10a3bb0a490534c88a8c19,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000163551,9,1,None,Federation,PlaceBid
68,1731681438,0xcfbe8b697596b5590314a916f82fdd1b66b7125a5c3c270afca195872f552651,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000144292,11,1,None,Federation,ChooseProvider
69,1731681443,0x4e20972fb1cf11e215be1d8307e873520b264d9a41394125e138dc899c7539d3,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000126696,10,1,None,Federation,ServiceDeployed
74,1731681468,0xa93a1075d13ca1acade3332c35e71c27be659f91e6b7b634bf43159e42dad4d3,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000065092,12,1,None,Federation,AnnounceService
75,1731681473,0xf639700aa8b0334172db22f66db15f8fd560750cc3a96ca1355575125c82f2bf,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.00005763,11,1,None,Federation,PlaceBid
76,1731681478,0xa3dff4f6da261cf86340e63d9863d5490c2aa24220388d8941e2601ceb5bd01b,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000050841,13,1,None,Federation,ChooseProvider
77,1731681483,0xee775c9159dc96ad3b50ba6c2986ad7bf39780cf28721ff7995108b21a23b3b4,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.00004464,12,1,None,Federation,ServiceDeployed
82,1731681508,0x0d6361f8e5279b36dba5be668d26b60f63b0a734602711f349e24d76e19941d7,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000022935,14,1,None,Federation,AnnounceService
83,1731681513,0xdb00dbc1e4c7900da56687b7ef6f033a0bb746232fd8520ba873fea0f6db77ac,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000020304,13,1,None,Federation,PlaceBid
84,1731681518,0x8eea0bda7c65c3ae4bc98c70a45faa5c07ba4916860ca9544bac9e8aff3d48cd,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000017911,15,1,None,Federation,ChooseProvider
85,1731681523,0x226fe399143374144a220ce71b0c1026add00d605819928e25bf7a61b140bc67,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000015726,14,1,None,Federation,ServiceDeployed
90,1731681548,0x1b13fd0556484559922c7520e531670f7fd113b7fb65ca0badda89bf6bb05c11,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000008081,16,1,None,Federation,AnnounceService
91,1731681553,0x8913ad8e7277d29536989042f2976df000a90341eca0ee061c47c6ef5107f772,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000007154,15,1,None,Federation,PlaceBid
92,1731681558,0xe773645ada6307adb99ae3e1c5dfbbcf777fd0a89c0a862026d622233bb8578d,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000006311,17,1,None,Federation,ChooseProvider
93,1731681563,0xc915380e73a3fbfea01a39c70b0f739ee3c66314435143764f6cb24bca6a666f,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000005541,16,1,None,Federation,ServiceDeployed
98,1731681588,0x52c46afd154bb9e7228188ded846cbe724dc964802a85cbe3d98dcab209eff45,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000002849,18,1,None,Federation,AnnounceService
99,1731681593,0x922265e29250360a81c2fb5b4f5f2367976f49b3ddf170702b64c2d497c909b6,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000002522,17,1,None,Federation,PlaceBid
100,1731681598,0x65454d8b7cc93eb9d7059016138d1e1e1d12a74b7a6ae827a54982c03dfc7368,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000002225,19,1,None,Federation,ChooseProvider
101,1731681603,0xb62c659088757d3350ddd7408de51c7e71c2a927c1defb46f127b4e9043b8f94,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000001954,18,1,None,Federation,ServiceDeployed
106,1731681628,0xf1d86319931cd48e51d8df338d11cfded5eeb5472dae39135ecbe26c11fabd0c,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000001005,20,1,None,Federation,AnnounceService
107,1731681633,0x9c69d5e671b3c5e105c73569534b4e9adaca622cefe47e43b8081575aca03c34,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.00000089,19,1,None,Federation,PlaceBid
108,1731681638,0xaf365f69cd8d8b489a3649cb13c39703754665748937e2e2c5a03709693b4be7,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000000785,21,1,None,Federation,ChooseProvider
109,1731681643,0x1bd46805119819b8b83999729fd12c1cd10231f640b1fe3e57857f50d9583a07,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.00000069,20,1,None,Federation,ServiceDeployed
114,1731681668,0x4d7954bf568b700eb3c7154db507358f14ebba517d0ae048abc6482357cad6f0,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000000356,22,1,None,Federation,AnnounceService
115,1731681673,0xf97cd88ff262e81a11c5dd37a1d3b9c283aedac78a8ccc048d34c1e78f6af7d3,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000000316,21,1,None,Federation,PlaceBid
116,1731681678,0xfd23111c6a419b991cf8485f61f4c4a8125f610e95e271da38222c12dcd1a37a,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000000279,23,1,None,Federation,ChooseProvider
117,1731681683,0x20834994d9b99f5cb93de1f6d355c5fd634e6d20ed34526920a0a902d875ffa7,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000000245,22,1,None,Federation,ServiceDeployed
122,1731681708,0x18571db3889eda0d4c01c075534a6480ca8758d1ab5c502ae8094a6f7476d35b,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000000128,24,1,None,Federation,AnnounceService
123,1731681713,0xa3dc29b25668219818a551349c7e450d7a55c4eceda920a75c0883e3f7174f93,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000000114,23,1,None,Federation,PlaceBid
124,1731681718,0x3542910424dd6f70924ed7f7008535e7e55280b92e6893c70ae2bdc97318f525,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,88555,1.000000101,25,1,None,Federation,ChooseProvider
125,1731681723,0x393f19d095930193d7576c942d934cae3ad99b76aae2c203b105d09ae103b1ed,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,41841,1.000000089,24,1,None,Federation,ServiceDeployed
130,1731681748,0xdd8931b4113488c26d2de3cddb7a644c87233473bbc453b7e7f3fe6671031ba1,0x3525519E3604677192fD8C9a9aC9E0662E55d3C1,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,302716,1.000000048,26,1,None,Federation,AnnounceService
131,1731681753,0x54390fa22eb2cbe136717cb02097aea8e8548b1cf4aea0e517023d0e635cdfaf,0x4dEd4b5a8dc1b8722Bc942283620Ce5898bC2AE4,0x8a899B9fF6293789A9Ed8716e08e5fCA83e975af,0,210727,1.000000043,25,1,None,Federation,PlaceBid
